n,lowest2015,highest2015,lowest2019,highest2019,lowestdiff,highestdiff,decile1prop2015,decile1prop2019,decile10prop2015,decile10prop2019,decile1propdiff,decile10propdiff,mean2019,median2019,mean2015,median2015,meandiff,mediandiff
Oldham,71,30702,86,29371,15,-1331,22.695,30.4965,2.1277,-999999,7.801418439716311,-2.1277,10384.904212478878,6643,11960.741573879359,8672,-1575.8373614004813,-2029
Greenwich,2327,29389,2565,28995,238,-394,1.9868,0.6623,-999999,-999999,-1.3245033112582782,0,12461.248841669167,11676,11957.954667078515,10951,503.2941745906519,725
Newark and Sherwood,1723,32516,1895,32398,172,-118,4.2857,4.2857,8.5714,8.5714,0,0,17267.01776152208,17228,17627.73642615568,18399,-360.7186646336013,-1171
Pendle,598,28246,677,28977,79,731,28.0702,31.5789,-999999,-999999,3.5087719298245617,0,10910.767617458994,9656,11465.954816823452,10681,-555.1871993644581,-1025
Lewes,6248,32157,5223,31476,-1025,-681,-999999,-999999,6.4516,9.6774,0,3.2258,19485.338497643246,21084,19751.28462078009,20477,-265.9461231368441,607
Eden,11014,27960,8695,26708,-2319,-1252,-999999,-999999,-999999,-999999,0,0,18156.929454503956,17191,18672.158747341233,17742,-515.2292928372772,-551
Eastbourne,2071,30678,2352,31653,281,975,3.2787,6.5574,4.918,3.2787,3.278688524590164,-1.6393,14856.542297757427,13274,15375.201451288869,13365,-518.6591535314419,-91
St  Helens,70,30277,27,29500,-43,-777,23.5294,24.3697,2.521,-999999,0.8403361344537821,-2.521,11209.450954997972,9172,11969.776434582145,10473,-760.3254795841731,-1301
Bolsover,1895,28226,1984,28126,89,-100,4.1667,4.1667,-999999,-999999,0,0,12404.244465264319,11368,12661.597014925374,10980,-257.3525496610546,388
Allerdale,804,31925,620,31497,-184,-428,11.6667,11.6667,3.3333,5,0,1.6667,15016.195956839885,15065,15141.047523580006,15761,-124.85156674012069,-696
Huntingdonshire,5991,32711,6125,32151,134,-560,-999999,-999999,18.0952,17.1429,0,-0.9524,22379.136603708594,23828,22943.686793563003,24905,-564.5501898544098,-1077
Harrow,5370,32444,4814,32125,-556,-319,-999999,-999999,10.219,7.2993,0,-2.9197,19773.66412498278,19692,20335.26356873796,20327,-561.5994437551781,-635
Selby,2057,32219,2687,32647,630,428,2,2,14,16,0,2,22489.162025169633,24874,22242.43847451987,24055,246.72355064976364,819
Lichfield,5300,32716,5148,32718,-152,2,-999999,-999999,15.5172,18.9655,0,3.4483,22457.75044115917,23506,22143.840344738463,23105,313.9100964207064,401
Runnymede,8827,32363,7886,32196,-941,-167,-999999,-999999,17.3077,13.4615,0,-3.8462,22788.571783226656,23582,23678.310053656816,24866,-889.7382704301599,-1284
Babergh,5589,31911,7430,32395,1841,484,-999999,-999999,9.2593,9.2593,0,0,20505.946295884314,20974,19699.55144056326,20562,806.3948553210539,412
